#Latest:Time(s),#Latest:Temperature(°C),#Latest:Potential(V)
0,35.13943904,1.776885986
0.4,35.0897507,1.789474487
0.8,34.94080398,2.501869202
1.2,34.84160361,3.844833374
1.6,34.79203233,4.330253601
2,34.76800465,4.90398407
2.4,34.7184617,4.557228088
2.8,34.7184617,4.034042358
3.2,34.7184617,3.022003174
3.6,34.6689377,1.880836487
4,34.59543677,1.767349243
4.4,34.52047824,1.991081238
4.8,34.4965005,3.255271912
5.2,34.4710289,3.772354126
5.6,34.4965005,4.607772827
6,34.52047824,4.938697815
6.4,34.4965005,4.718017578
6.8,34.39763801,3.986740112
7.2,34.39763801,2.347373962
7.6,34.37218527,1.877593994
8,34.37218527,1.716995239
8.4,34.32279075,2.432441711
8.8,34.37218527,3.280448914
9.2,34.44706009,4.134941101
9.6,34.56994608,4.944992065
10,34.69294698,4.856681824
10.4,34.84160361,4.560470581
10.8,34.94080398,3.081893921
11.2,34.96636815,2.205467224
11.6,35.06566651,1.770591736
12,35.16504382,2.145576477
12.4,35.3383926,3.107070923
12.8,35.53767201,3.551673889
13.2,35.73728463,4.765319824
13.6,35.78724072,4.929351807
14,35.88721724,4.878807068
14.4,36.01306828,4.090690613
14.8,36.11172313,2.602767944
15.2,36.23782293,1.868247986
15.6,36.38841717,1.887130737
16,36.563608,2.877044678
16.4,36.74060821,3.816413879
16.8,36.89189985,4.856681824
17.2,37.01737576,4.702377319
17.6,37.11847763,4.327201843
18,37.21967783,2.927398682
18.4,37.34708588,2.035331726
18.8,37.52387839,1.798820496
19.2,37.62548188,2.066802979
19.6,37.75186058,3.400421143
20,37.77808118,4.361915588
20.4,37.82899986,4.774856567
20.8,37.82899986,4.544639587
21.2,37.85369718,3.674507141
21.6,37.93091637,2.703666687
22,37.98191445,1.716995239
22.4,38.0066504,1.91860199
22.8,38.03293925,2.728843689
23.2,38.10875293,4.598236084
23.6,38.13506954,4.96711731
24,38.18617527,4.774856567
24.4,38.18617527,3.416061401
24.8,38.18617527,2.599525452
25.2,38.26210984,1.99432373
25.6,38.31328349,2.000617981
26,38.36448471,2.81085968
26.4,38.39087189,3.838539124
26.8,38.39087189,4.601478577
27.2,38.36448471,4.919815063
27.6,38.36448471,4.509925842
28,38.33965643,3.740882874
28.4,38.33965643,2.271652222
28.8,38.28846859,1.75151825
29.2,38.26210984,1.82723999
29.6,38.23730825,2.892684937
30,38.23730825,3.860664368
30.4,38.26210984,4.566764832
30.8,38.26210984,4.853630066
31.2,38.26210984,3.73134613
31.6,38.26210984,2.996826172
32,38.23730825,2.114105225
32.4,38.28846859,1.874542236
32.8,38.36448471,2.382087708
33.2,38.44211511,3.100776672
33.6,38.51825501,4.569816589
34,38.62090874,4.954528809
34.4,38.64736817,4.787445068
34.8,38.56956777,3.475952148
35.2,38.46697033,2.120399475
35.6,38.44211511,1.871299744
36,38.36448471,1.836776733
36.4,38.23730825,3.104019165
36.8,38.15984468,4.074859619
37.2,38.05768821,4.63924408
37.6,37.98191445,4.859924316
38,38.0066504,4.264068604
38.4,38.0066504,3.933143616
38.8,38.0066504,2.725791931
39.2,38.0066504,1.773643494
39.6,37.95563938,1.738929749
40,37.95563938,2.369499207
40.4,38.0066504,3.901481628
40.8,38.03293925,4.585647583
41.2,38.05768821,4.872512817
41.6,38.10875293,4.292488098
42,38.08399091,4.31137085
42.4,38.13506954,2.114105225
42.8,38.31328349,2.208709717
43.2,38.46697033,3.13873291
43.6,38.51825501,3.63368988
44,38.51825501,4.588890076
44.4,38.49338621,4.90398407
44.8,38.44211511,4.509925842
45.2,38.31328349,3.684043884
45.6,38.15984468,2.208709717
46,38.05768821,1.783180237
46.4,37.98191445,1.745223999
46.8,37.98191445,2.851867676
47.2,38.03293925,4.131698608
47.6,38.05768821,4.582595825
48,38.10875293,4.91027832
48.4,38.15984468,4.078102112
48.8,38.21096361,3.264808655
49.2,38.31328349,2.391624451
49.6,38.36448471,1.783180237
50,38.28846859,2.14881897
50.4,38.08399091,2.694129944
50.8,38.0066504,4.264068604
51.2,38.0066504,4.941940308
51.6,38.08399091,4.825210571
52,38.23730825,4.119110107
52.4,38.33965643,2.706718445
52.8,38.31328349,2.180290222
53.2,38.26210984,1.82723999
53.6,38.26210984,2.114105225
54,38.26210984,2.571296692
54.4,38.10875293,3.217506409
54.8,38.0066504,4.569816589
55.2,37.87994488,4.894638062
55.6,37.77808118,4.696083069
56,37.75186058,4.327201843
56.4,37.75186058,2.498626709
56.8,37.75186058,1.836776733
57.2,37.75186058,1.776885986
57.6,37.87994488,2.161407471
58,38.05768821,3.589439392
58.4,38.15984468,4.2137146
58.8,38.08399091,4.692840576
59.2,38.03293925,4.752731323
59.6,38.03293925,3.996086121
60,38.08399091,3.450775146
60.4,38.15984468,2.602767944
60.8,38.23730825,1.742172241
61.2,38.33965643,1.947021484
61.6,38.39087189,2.233886719
62,38.46697033,3.580093384
62.4,38.54468534,4.544639587
62.8,38.56956777,4.837799072
63.2,38.59601261,4.80632782
63.6,38.67227805,3.422355652
64,38.72367585,2.624893188
64.4,38.77510225,2.095222473
64.8,38.64736817,1.767349243
65.2,38.59601261,2.637481689
65.6,38.46697033,2.930641174
66,38.33965643,4.185295105
66.4,38.23730825,4.960823059
66.8,38.18617527,4.617118835
67.2,38.18617527,4.323959351
67.6,38.21096361,2.880096436
68,38.21096361,1.811408997
68.4,38.23730825,1.855659485
68.8,38.28846859,2.508163452
69.2,38.39087189,3.539085388
69.6,38.51825501,4.70867157
70,38.69875214,4.784202576
70.4,38.87804142,4.623413086
70.8,39.0326681,3.504371643
71.2,39.13589939,2.533340454
71.6,39.23924941,2.047920227
72,39.29096928,2.044677734
