#Latest: Time (s),#Latest: Temperature (°C),#Latest: Potential (V)
0,28.97150596,2.917480469
0.5,28.97150596,3.081893921
1,28.97441748,2.855491638
1.5,28.98024061,2.584838867
2,28.98024061,2.533340454
2.5,28.9831522,2.62298584
3,28.97732903,2.642631531
3.5,28.97732903,2.639389038
4,28.98024061,2.696228027
4.5,28.97441748,2.771568298
5,28.97732903,2.647781372
5.5,28.97732903,2.600860596
6,28.96713871,2.496910095
6.5,28.97150596,2.723121643
7,28.97441748,2.823066711
7.5,28.96568298,3.043746948
8,28.95840439,3.378868103
8.5,28.95258163,3.577232361
9,28.94530331,3.65486145
9.5,28.93656953,3.708076477
10,28.92638039,3.958511353
10.5,28.91619155,4.097557068
11,28.90163656,4.35295105
11.5,28.88853757,4.502868652
12,28.88126057,4.448509216
12.5,28.86525167,4.392242432
13,28.871073,4.266166687
13.5,28.87252835,3.960418701
14,28.88417135,3.751182556
14.5,28.90163656,3.706359863
15,28.92638039,4.289627075
15.5,28.94530331,3.874969482
16,28.98751965,3.462982178
16.5,29.0282851,3.186607361
17,29.07342392,3.008651733
17.5,29.115656,2.906036377
18,29.15206723,2.774238586
18.5,29.18702578,2.519226074
19,29.22490174,2.390670776
19.5,29.26715322,2.403068542
20,29.29483824,2.137565613
20.5,29.33418426,2.004814148
21,29.36041767,1.959609985
21.5,29.39831427,1.895713806
22,29.42746866,2.068901062
22.5,29.45225206,1.857185364
23,29.45954168,1.873397827
23.5,29.47849551,1.834106445
24,29.49161809,2.045059204
24.5,29.50036679,1.832771301
25,29.50182493,1.847457886
25.5,29.49745053,1.882553101
26,29.50474123,1.910209656
26.5,29.50182493,2.059745789
27,29.50765757,2.112197876
27.5,29.51057393,2.24571228
28,29.50765757,2.362060547
28.5,29.49745053,2.559280396
29,29.4843277,2.801322937
29.5,29.47557946,3.038024902
30,29.47849551,3.392219543
30.5,29.47849551,3.542137146
31,29.47849551,4.044723511
31.5,29.47557946,4.73690033
32,29.4843277,4.836082459
32.5,29.49453429,4.926109314
33,29.50474123,4.949378967
33.5,29.52661442,4.961395264
34,29.53536415,4.852485657
34.5,29.55286436,4.746246338
35,29.56890713,4.653549194
35.5,29.5776581,4.57572937
36,29.5776581,4.522514343
36.5,29.58495078,3.71055603
37,29.59953667,3.865814209
37.5,29.61412328,2.90927887
38,29.63162818,2.718925476
38.5,29.6578875,2.322387695
39,29.66810011,2.081489563
39.5,29.69290365,1.874732971
40,29.70895415,1.866722107
40.5,29.72208705,1.915740967
41,29.74397656,1.916503906
41.5,29.7425172,1.959228516
42,29.75419224,2.027130127
42.5,29.7425172,2.087402344
43,29.73522055,2.01625824
43.5,29.71916857,2.18963623
44,29.7031175,2.370071411
44.5,29.68706733,2.681159973
45,29.67101806,2.941322327
45.5,29.64913413,3.34072113
46,29.6462164,3.610420227
46.5,29.65496968,3.911972046
47,29.66810011,4.156494141
47.5,29.68414921,4.472732544
48,29.69728097,4.675865173
48.5,29.70019922,4.837799072
49,29.71625013,4.916191101
49.5,29.73230194,4.947090149
50,29.75127344,4.986190796
50.5,29.76732724,4.932975769
51,29.78338195,4.827880859
51.5,29.78922026,4.491043091
52,29.78630109,4.239845276
52.5,29.78922026,3.813171387
53,29.78338195,3.475189209
53.5,29.78630109,3.196334839
54,29.78630109,2.963829041
54.5,29.78630109,2.774620056
55,29.78338195,2.67906189
55.5,29.77608424,2.446174622
56,29.75711108,2.223396301
56.5,29.7425172,1.98135376
57,29.73230194,1.882171631
57.5,29.71625013,1.865005493
58,29.69728097,1.887130737
58.5,29.69436275,2.010726929
59,29.69728097,2.214622498
59.5,29.71041333,2.531814575
60,29.72208705,2.966308594
60.5,29.73522055,3.277015686
61,29.75711108,3.684234619
61.5,29.78046284,4.020500183
62,29.80527623,4.361343384
62.5,29.84031066,4.679107666
63,29.85782954,4.793548584
63.5,29.88849027,4.920768738
64,29.91769417,4.964637756
